time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,e_p_x,e_p_y,e_p_z,pdot_x,pdot_y,pdot_z,f_x,f_y,f_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.055000,0.310052,-0.000036,0.493727,0.326855,0.000042,0.486848,0.016803,0.000079,-0.006879,0.121617,0.002746,0.283814,-0.752049,-0.047047,-6.364173,-0.010838,-2.264597,-0.711828,18.667740,0.754902,1.513249,0.000485
0.056000,0.310181,-0.000032,0.494038,0.326855,0.000042,0.486848,0.016674,0.000074,-0.007190,0.123868,0.002877,0.293455,-0.809977,-0.050110,-6.588126,-0.011507,-2.223091,-0.712610,18.552212,0.754228,1.479098,0.000520
0.057000,0.310312,-0.000031,0.494362,0.326855,0.000042,0.486848,0.016543,0.000074,-0.007514,0.125245,0.002683,0.301806,-0.850615,-0.046267,-6.787515,-0.010676,-2.184246,-0.711909,18.449764,0.754905,1.450898,0.000549
0.058000,0.310447,-0.000030,0.494699,0.326855,0.000042,0.486848,0.016408,0.000072,-0.007851,0.127920,0.002959,0.310637,-0.917638,-0.051928,-6.997856,-0.012243,-2.147076,-0.713566,18.339189,0.753674,1.416104,0.000588
0.059000,0.310581,-0.000025,0.495033,0.326855,0.000042,0.486848,0.016273,0.000067,-0.008185,0.129313,0.003488,0.319221,-0.958931,-0.063034,-7.202942,-0.014469,-2.107670,-0.715684,18.233626,0.751437,1.386993,0.000613
0.060000,0.310721,-0.000023,0.495383,0.326855,0.000042,0.486848,0.016134,0.000065,-0.008535,0.131438,0.003851,0.328229,-1.015357,-0.070517,-7.418091,-0.016897,-2.067331,-0.718260,18.120572,0.749756,1.353652,0.000646
0.061000,0.310861,-0.000020,0.495734,0.326855,0.000042,0.486848,0.015993,0.000062,-0.008886,0.134177,0.003027,0.335864,-1.084188,-0.054305,-7.605853,-0.011823,-2.034895,-0.713133,18.019123,0.753011,1.320538,0.000667
0.062000,0.311002,-0.000017,0.496096,0.326855,0.000042,0.486848,0.015853,0.000060,-0.009248,0.136108,0.002417,0.343179,-1.136861,-0.042371,-7.788385,-0.008010,-2.000319,-0.709203,17.921106,0.755375,1.291184,0.000682
0.063000,0.311148,-0.000018,0.496472,0.326855,0.000042,0.486848,0.015707,0.000060,-0.009624,0.137132,0.002009,0.352450,-1.171940,-0.034137,-8.011387,-0.005504,-1.957084,-0.706806,17.806891,0.756952,1.261099,0.000707
0.064000,0.311291,-0.000015,0.496840,0.326855,0.000042,0.486848,0.015563,0.000057,-0.009992,0.139463,0.001669,0.359068,-1.232910,-0.027628,-8.180546,-0.003153,-1.927745,-0.704395,17.714777,0.758214,1.231308,0.000725
0.065000,0.311439,-0.000014,0.497218,0.326855,0.000042,0.486848,0.015415,0.000056,-0.010370,0.140520,0.000736,0.363671,-1.268857,-0.009102,-8.310462,0.002078,-1.903348,-0.698989,17.644176,0.761912,1.210698,0.000738
0.066000,0.311591,-0.000013,0.497607,0.326855,0.000042,0.486848,0.015264,0.000056,-0.010759,0.142019,0.000758,0.368784,-1.313973,-0.009601,-8.451546,0.001961,-1.878206,-0.698961,17.567385,0.761731,1.187009,0.000761
0.067000,0.311745,-0.000013,0.498003,0.326855,0.000042,0.486848,0.015109,0.000056,-0.011155,0.145027,0.000749,0.377659,-1.389613,-0.009386,-8.668698,0.001505,-1.840457,-0.699452,17.449576,0.761545,1.148953,0.000794
0.068000,0.311902,-0.000014,0.498408,0.326855,0.000042,0.486848,0.014952,0.000056,-0.011560,0.148062,0.000603,0.384285,-1.466005,-0.006420,-8.841717,0.002384,-1.811340,-0.698323,17.352474,0.762016,1.115384,0.000820
0.069000,0.312063,-0.000013,0.498823,0.326855,0.000042,0.486848,0.014792,0.000056,-0.011976,0.152240,-0.000106,0.399552,-1.565592,0.007683,-9.188582,0.007882,-1.756799,-0.692821,17.173454,0.764895,1.058390,0.000885
0.070000,0.312224,-0.000015,0.499239,0.326855,0.000042,0.486848,0.014630,0.000057,-0.012391,0.154711,-0.000190,0.401651,-1.631186,0.009507,-9.272078,0.007720,-1.744894,-0.692659,17.120898,0.765123,1.036511,0.000910
0.071000,0.312389,-0.000014,0.499662,0.326855,0.000042,0.486848,0.014466,0.000057,-0.012814,0.158751,0.000542,0.406638,-1.728457,-0.005182,-9.414173,0.003816,-1.725598,-0.696022,17.036733,0.762082,1.001875,0.000952
0.072000,0.312552,-0.000017,0.500083,0.326855,0.000042,0.486848,0.014303,0.000060,-0.013235,0.159490,-0.001456,0.413766,-1.759479,0.035088,-9.598818,0.014355,-1.691782,-0.685893,16.940590,0.770025,0.975947,0.000972
0.073000,0.312717,-0.000020,0.500503,0.326855,0.000042,0.486848,0.014138,0.000062,-0.013655,0.159877,-0.001955,0.412030,-1.783710,0.045340,-9.606132,0.018465,-1.686204,-0.680654,16.926416,0.772212,0.970576,0.000945
0.074000,0.312881,-0.000022,0.500922,0.326855,0.000042,0.486848,0.013974,0.000064,-0.014074,0.161021,-0.002338,0.414121,-1.823006,0.053182,-9.689828,0.021738,-1.670778,-0.676664,16.875956,0.773863,0.953862,0.000944
0.075000,0.313049,-0.000023,0.501351,0.326855,0.000042,0.486848,0.013805,0.000065,-0.014503,0.162985,-0.002212,0.419335,-1.879142,0.050768,-9.837021,0.021983,-1.641797,-0.675682,16.790110,0.773307,0.926732,0.000942
0.076000,0.313218,-0.000022,0.501785,0.326855,0.000042,0.486848,0.013637,0.000065,-0.014937,0.163182,-0.001582,0.418882,-1.899989,0.038108,-9.871336,0.018127,-1.630867,-0.679294,16.762906,0.770560,0.919050,0.000924
0.077000,0.313389,-0.000025,0.502221,0.326855,0.000042,0.486848,0.013466,0.000067,-0.015373,0.164716,-0.001995,0.420814,-1.947724,0.046628,-9.953550,0.020872,-1.616059,-0.676128,16.711214,0.772212,0.900713,0.000924
0.078000,0.313566,-0.000025,0.502666,0.326855,0.000042,0.486848,0.013289,0.000068,-0.015818,0.168929,-0.001149,0.428229,-2.049696,0.029730,-10.146413,0.016720,-1.586347,-0.679779,16.599612,0.768647,0.859248,0.000955
0.079000,0.313745,-0.000027,0.503119,0.326855,0.000042,0.486848,0.013109,0.000069,-0.016271,0.171089,-0.001204,0.432841,-2.110839,0.030982,-10.283933,0.016944,-1.562798,-0.679347,16.519430,0.768704,0.832050,0.000968
0.080000,0.313924,-0.000030,0.503574,0.326855,0.000042,0.486848,0.012931,0.000072,-0.016726,0.173838,-0.001638,0.441544,-2.183706,0.040004,-10.503461,0.019193,-1.528667,-0.677077,16.401111,0.770307,0.793420,0.001008
0.081000,0.314110,-0.000033,0.504045,0.326855,0.000042,0.486848,0.012745,0.000075,-0.017197,0.177018,-0.001683,0.450197,-2.265890,0.041169,-10.723687,0.020082,-1.493492,-0.675694,16.279592,0.770420,0.752695,0.001044
0.082000,0.314294,-0.000039,0.504505,0.326855,0.000042,0.486848,0.012560,0.000081,-0.017657,0.180003,-0.002482,0.454450,-2.344010,0.057744,-10.854675,0.024090,-1.475365,-0.671456,16.201950,0.773553,0.722664,0.001073
0.083000,0.314485,-0.000045,0.504987,0.326855,0.000042,0.486848,0.012369,0.000087,-0.018139,0.183445,-0.003845,0.462267,-2.431960,0.085604,-11.059230,0.030652,-1.445673,-0.664850,16.088403,0.778879,0.682409,0.001123
0.084000,0.314678,-0.000048,0.505472,0.326855,0.000042,0.486848,0.012177,0.000091,-0.018624,0.185866,-0.003130,0.469718,-2.499630,0.071687,-11.256761,0.027689,-1.414291,-0.667125,15.979511,0.775988,0.646893,0.001154
0.085000,0.314868,-0.000053,0.505957,0.326855,0.000042,0.486848,0.011987,0.000095,-0.019109,0.187090,-0.004046,0.477474,-2.543087,0.090462,-11.460365,0.032829,-1.381006,-0.662055,15.871746,0.779584,0.615469,0.001181
0.086000,0.315060,-0.000054,0.506448,0.326855,0.000042,0.486848,0.011795,0.000097,-0.019600,0.188204,-0.002471,0.483277,-2.584589,0.059082,-11.625507,0.025678,-1.353027,-0.668087,15.781437,0.773312,0.588676,0.001206
0.087000,0.315253,-0.000056,0.506939,0.326855,0.000042,0.486848,0.011602,0.000099,-0.020091,0.190101,-0.001738,0.489294,-2.641799,0.044629,-11.795013,0.022535,-1.323711,-0.670532,15.685064,0.770272,0.558118,0.001218
0.088000,0.315446,-0.000055,0.507446,0.326855,0.000042,0.486848,0.011409,0.000097,-0.020598,0.189796,-0.001103,0.492453,-2.655059,0.031809,-11.908842,0.017433,-1.298947,-0.675613,15.620357,0.767304,0.542627,0.001223
0.089000,0.315642,-0.000057,0.507959,0.326855,0.000042,0.486848,0.011212,0.000099,-0.021111,0.190152,-0.001673,0.499153,-2.681803,0.043397,-12.094168,0.022094,-1.267996,-0.670809,15.523207,0.769645,0.516306,0.001235
0.090000,0.315841,-0.000059,0.508487,0.326855,0.000042,0.486848,0.011014,0.000101,-0.021639,0.193534,-0.001049,0.509449,-2.769266,0.031093,-12.352888,0.019623,-1.230967,-0.672965,15.383569,0.767014,0.469348,0.001287
0.091000,0.316042,-0.000057,0.509024,0.326855,0.000042,0.486848,0.010813,0.000099,-0.022176,0.195406,0.000443,0.519767,-2.826832,0.001095,-12.612909,0.011042,-1.191904,-0.681538,15.247286,0.760675,0.428055,0.001346
0.092000,0.316244,-0.000059,0.509563,0.326855,0.000042,0.486848,0.010611,0.000102,-0.022715,0.196928,-0.000881,0.526966,-2.877467,0.027786,-12.810865,0.017484,-1.161214,-0.675557,15.140715,0.765692,0.395178,0.001376
