time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,pdot_x,pdot_y,pdot_z,f_x,f_y,f_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.071000,0.312003,-0.000030,0.499196,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.005170,0.000080,-0.012206,0.145564,-0.001639,0.399205,-3.428241,0.040814,-9.204694,0.015614,-2.075037,-0.682992,16.933456,0.771276,0.668013,0.000768
0.072000,0.312154,-0.000034,0.499610,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.005321,0.000084,-0.012620,0.147835,-0.002443,0.404245,-3.488839,0.057274,-9.346941,0.022144,-2.053159,-0.675530,16.854653,0.774792,0.640942,0.000784
0.073000,0.312303,-0.000036,0.500015,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.005469,0.000087,-0.013025,0.147390,-0.002781,0.405125,-3.494756,0.064327,-9.405018,0.024804,-2.039197,-0.672326,16.820823,0.776237,0.633943,0.000771
0.074000,0.312455,-0.000039,0.500430,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.005622,0.000089,-0.013440,0.148523,-0.002596,0.408130,-3.532659,0.060847,-9.506591,0.025244,-2.019260,-0.670899,16.761262,0.775619,0.615739,0.000769
0.075000,0.312608,-0.000042,0.500849,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.005775,0.000093,-0.013859,0.148464,-0.002818,0.407759,-3.546751,0.065615,-9.541039,0.027631,-2.009965,-0.667757,16.736932,0.776651,0.609617,0.000752
0.076000,0.312761,-0.000046,0.501261,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.005928,0.000096,-0.014271,0.149860,-0.003046,0.409221,-3.590019,0.070554,-9.611498,0.028155,-1.996600,-0.667166,16.691063,0.777383,0.593645,0.000747
0.077000,0.312919,-0.000047,0.501689,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.006086,0.000098,-0.014699,0.151601,-0.001966,0.412997,-3.640653,0.049070,-9.729862,0.022405,-1.974411,-0.672320,16.620936,0.772884,0.570952,0.000751
0.078000,0.313077,-0.000049,0.502114,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.006244,0.000100,-0.015124,0.153342,-0.002586,0.417583,-3.691237,0.061678,-9.864095,0.027354,-1.952022,-0.667101,16.545153,0.775443,0.546532,0.000748
0.079000,0.313242,-0.000051,0.502555,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.006409,0.000102,-0.015565,0.156671,-0.003158,0.425655,-3.774278,0.073341,-10.069560,0.030146,-1.920768,-0.664481,16.431861,0.777513,0.507739,0.000775
0.080000,0.313408,-0.000055,0.503006,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.006575,0.000106,-0.016015,0.159831,-0.003750,0.432615,-3.854102,0.085602,-10.253838,0.034176,-1.891028,-0.659971,16.327439,0.779867,0.471816,0.000792
