time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.059000,0.306634,0.000240,0.486559,0.306723,0.000193,0.486799,0.000089,-0.000047,0.000240,-0.000159,-0.000497,-0.000064,-0.003397,0.000842,-0.003915,0.004009,0.005051,-0.001153,0.078644,-0.021582,0.102280,-0.016591,-0.011098,0.002081,-0.004561,-0.030331,0.006163,0.069369,-0.021131,0.036623,-0.002076
0.060000,0.306631,0.000240,0.486551,0.306723,0.000193,0.486799,0.000092,-0.000047,0.000249,-0.000162,-0.000515,-0.000061,-0.003494,0.000620,-0.004560,0.003258,0.006171,-0.001018,0.080925,-0.017123,0.116071,-0.013598,-0.013371,0.001822,-0.003447,-0.036496,0.005313,0.078445,-0.017198,0.040587,-0.001821
0.061000,0.306629,0.000242,0.486548,0.306723,0.000193,0.486799,0.000094,-0.000049,0.000252,-0.000163,-0.000518,-0.000073,-0.002826,0.000565,-0.004355,0.001638,0.006430,0.006288,0.067813,-0.016168,0.112261,-0.007125,-0.013897,-0.012831,-0.017809,-0.037901,-0.009317,0.075521,-0.010517,0.038031,0.012827
0.062000,0.306626,0.000240,0.486542,0.306723,0.000193,0.486799,0.000097,-0.000047,0.000257,-0.000165,-0.000528,-0.000064,-0.003372,-0.000220,-0.005403,0.001266,0.008941,0.002232,0.079125,-0.000311,0.133750,-0.005642,-0.018940,-0.004688,-0.004797,-0.047811,0.000567,0.092151,-0.005699,0.047335,0.004680
0.063000,0.306623,0.000241,0.486538,0.306723,0.000193,0.486799,0.000100,-0.000048,0.000261,-0.000173,-0.000534,-0.000065,-0.003047,-0.000148,-0.005647,0.002746,0.009639,0.002226,0.073004,-0.001830,0.139078,-0.011592,-0.020346,-0.004680,-0.005242,-0.051816,0.004299,0.095297,-0.011966,0.047918,0.004676
0.064000,0.306620,0.000241,0.486534,0.306723,0.000193,0.486799,0.000103,-0.000048,0.000265,-0.000171,-0.000541,-0.000063,-0.003036,-0.000174,-0.004595,0.000817,0.007330,0.000145,0.073064,-0.001296,0.118435,-0.003868,-0.015743,-0.000513,-0.000925,-0.040837,0.001939,0.080956,-0.004135,0.041517,0.000506
0.065000,0.306618,0.000241,0.486526,0.306723,0.000193,0.486799,0.000105,-0.000048,0.000273,-0.000178,-0.000558,-0.000062,-0.003189,-0.000439,-0.006464,0.001728,0.011440,-0.000594,0.076359,0.004029,0.156603,-0.007534,-0.023995,0.000971,0.002207,-0.060355,0.007330,0.107651,-0.006677,0.053807,-0.000980
0.066000,0.306615,0.000241,0.486521,0.306723,0.000193,0.486799,0.000108,-0.000048,0.000278,-0.000181,-0.000564,-0.000067,-0.002974,-0.000082,-0.005990,0.001710,0.010349,0.001257,0.072413,-0.003194,0.147590,-0.007475,-0.021827,-0.002748,-0.003740,-0.056016,0.002293,0.100726,-0.008137,0.050021,0.002741
0.067000,0.306612,0.000241,0.486516,0.306723,0.000193,0.486799,0.000111,-0.000048,0.000283,-0.000186,-0.000572,-0.000066,-0.003531,-0.000286,-0.004040,0.001744,0.004728,0.000700,0.083934,0.000869,0.109086,-0.007628,-0.010600,-0.001631,-0.001373,-0.031102,0.004523,0.072756,-0.007438,0.037840,0.001630
0.068000,0.306609,0.000243,0.486511,0.306723,0.000193,0.486799,0.000114,-0.000050,0.000288,-0.000190,-0.000583,-0.000064,-0.003496,-0.000122,-0.005759,0.001044,0.009747,-0.000103,0.083567,-0.002511,0.143997,-0.004839,-0.020659,-0.000018,-0.000804,-0.051999,0.002577,0.099276,-0.005361,0.050884,0.000009
0.069000,0.306605,0.000243,0.486501,0.306723,0.000193,0.486799,0.000118,-0.000050,0.000298,-0.000194,-0.000607,-0.000059,-0.003588,-0.000126,-0.008685,0.000484,0.017112,-0.001747,0.085904,-0.002524,0.203542,-0.002613,-0.035439,0.003287,0.002501,-0.084836,0.003326,0.142482,-0.003136,0.071370,-0.003308
0.070000,0.306603,0.000244,0.486498,0.306723,0.000193,0.486799,0.000120,-0.000051,0.000301,-0.000196,-0.000611,-0.000062,-0.003352,0.000038,-0.006096,0.000539,0.011053,0.004524,0.081464,-0.005868,0.151986,-0.002842,-0.023329,-0.009265,-0.011076,-0.057469,-0.006466,0.105459,-0.004065,0.053818,0.009252
0.071000,0.306598,0.000243,0.486489,0.306723,0.000193,0.486799,0.000125,-0.000050,0.000310,-0.000197,-0.000628,-0.000060,-0.004214,-0.000313,-0.007750,0.000375,0.013733,0.002830,0.099243,0.001252,0.185976,-0.002187,-0.028721,-0.005871,-0.005503,-0.070582,-0.002212,0.129150,-0.001911,0.065929,0.005855
0.072000,0.306596,0.000244,0.486489,0.306723,0.000193,0.486799,0.000127,-0.000051,0.000311,-0.000196,-0.000624,-0.000066,-0.003956,-0.000211,-0.004835,-0.001011,0.006878,0.004054,0.094350,-0.000863,0.127756,0.003359,-0.015005,-0.008338,-0.008631,-0.039643,-0.008579,0.087306,0.003186,0.046082,0.008326
0.073000,0.306594,0.000243,0.486480,0.306723,0.000193,0.486799,0.000129,-0.000050,0.000320,-0.000200,-0.000645,-0.000060,-0.003483,-0.000629,-0.007178,0.000324,0.013306,0.000883,0.085200,0.007625,0.175526,-0.001995,-0.027904,-0.001974,0.000359,-0.068735,0.002492,0.121626,-0.000379,0.061236,0.001957
0.074000,0.306590,0.000244,0.486473,0.306723,0.000193,0.486799,0.000133,-0.000051,0.000327,-0.000201,-0.000658,-0.000055,-0.003452,0.000886,-0.008581,0.003909,0.016515,0.000057,0.084953,-0.022782,0.204278,-0.016340,-0.034347,-0.000308,-0.007317,-0.084105,0.003892,0.141610,-0.021125,0.070139,0.000300
