time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.051000,0.306661,-0.000018,0.486575,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000071,0.000035,0.000245,-0.000149,-0.000556,0.000081,-0.002967,-0.000560,-0.006903,0.000000,0.000000,0.000000,0.000428,0.013495,-0.003089,0.036770,0.009137,0.093562,-0.001944,-0.048899,0.011053,0.013859,-0.072052,0.012169,0.097747,0.000000,0.064834,-0.011083
0.052000,0.306658,-0.000020,0.486572,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000073,0.000038,0.000249,-0.000151,-0.000560,0.000086,-0.002534,-0.001214,-0.005595,0.000000,0.000000,0.000000,0.000770,0.010124,-0.003846,0.032686,0.015899,0.080849,-0.003147,-0.037115,0.013721,0.018613,-0.056956,0.017128,0.079437,0.000217,0.051076,-0.013743
0.053000,0.306654,-0.000019,0.486565,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000077,0.000037,0.000255,-0.000153,-0.000573,0.000082,-0.002473,-0.000558,-0.005867,0.000000,0.000000,0.000000,0.001199,0.010978,-0.001276,0.032482,0.009267,0.084211,-0.004657,-0.040143,0.004712,0.007571,-0.061055,0.009665,0.084030,-0.002684,0.054362,-0.004735
0.054000,0.306652,-0.000021,0.486558,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000080,0.000038,0.000262,-0.000148,-0.000589,0.000081,-0.001995,-0.000602,-0.006041,0.000000,0.000000,0.000000,0.000210,0.012173,-0.000442,0.027970,0.009840,0.086652,-0.001180,-0.044371,0.001790,0.004813,-0.066752,0.005306,0.088842,0.000915,0.057855,-0.001817
0.055000,0.306648,-0.000021,0.486554,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000083,0.000039,0.000267,-0.000149,-0.000600,0.000091,-0.002329,-0.000726,-0.004484,0.000000,0.000000,0.000000,-0.000224,0.008345,-0.003537,0.031622,0.011129,0.071515,0.000339,-0.031008,0.012653,0.016065,-0.048114,0.012332,0.068791,0.002694,0.043930,-0.012673
0.056000,0.306645,-0.000024,0.486549,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000087,0.000041,0.000272,-0.000155,-0.000608,0.000094,-0.002392,-0.001383,-0.002358,0.000000,0.000000,0.000000,0.001752,0.002177,-0.004376,0.032612,0.017957,0.050799,-0.006597,-0.009446,0.015598,0.021124,-0.019993,0.021583,0.037552,-0.002812,0.020757,-0.015599
0.057000,0.306641,-0.000025,0.486545,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000091,0.000043,0.000276,-0.000154,-0.000613,0.000099,-0.002842,-0.003118,-0.001415,0.000000,0.000000,0.000000,0.000554,-0.000789,-0.009887,0.037499,0.035426,0.041768,-0.002401,0.000922,0.034903,0.045800,-0.006085,0.038047,0.023512,0.005051,0.010604,-0.034901
0.058000,0.306638,-0.000027,0.486538,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000094,0.000044,0.000283,-0.000159,-0.000626,0.000101,-0.002949,-0.003033,-0.001979,0.000000,0.000000,0.000000,0.002007,0.000784,-0.007967,0.038873,0.034773,0.048078,-0.007500,-0.004622,0.028189,0.038891,-0.013372,0.036684,0.032218,-0.000180,0.016997,-0.028186
0.059000,0.306635,-0.000027,0.486532,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000097,0.000045,0.000289,-0.000157,-0.000638,0.000108,-0.003313,-0.002236,-0.003127,0.000000,0.000000,0.000000,0.000906,0.003385,-0.007919,0.042790,0.026817,0.060123,-0.003644,-0.013759,0.028041,0.036292,-0.025583,0.031223,0.047537,0.002004,0.028017,-0.028046
0.060000,0.306631,-0.000029,0.486527,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000101,0.000047,0.000293,-0.000160,-0.000648,0.000114,-0.002963,-0.002344,-0.003485,0.000000,0.000000,0.000000,0.001466,0.004931,-0.007642,0.039687,0.028122,0.064195,-0.005610,-0.019202,0.027087,0.035741,-0.032790,0.032350,0.054530,0.000315,0.033166,-0.027095
0.061000,0.306627,-0.000029,0.486522,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000104,0.000046,0.000299,-0.000161,-0.000658,0.000111,-0.003930,-0.001410,-0.003636,0.000000,0.000000,0.000000,0.001222,0.007940,-0.004525,0.049742,0.018710,0.066220,-0.004759,-0.029763,0.016171,0.021931,-0.042401,0.020947,0.067329,-0.000807,0.046031,-0.016187
