time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.049000,0.306750,-0.000048,0.486583,0.306803,0.000002,0.486776,0.000053,0.000051,0.000193,-0.000169,-0.000399,0.000082,-0.001773,0.003401,-0.005330,0.001885,0.011468,0.007543,0.041830,-0.062974,0.125932,-0.008131,-0.023734,-0.014799,-0.034124,-0.056057,-0.025206,0.088551,-0.021356,0.043608,0.014788
0.050000,0.306748,-0.000045,0.486578,0.306803,0.000002,0.486776,0.000055,0.000047,0.000199,-0.000169,-0.000410,0.000071,-0.001656,0.003408,-0.005455,0.001012,0.012256,0.008680,0.039718,-0.063451,0.128963,-0.004639,-0.025333,-0.017111,-0.036584,-0.058926,-0.029463,0.091310,-0.017963,0.045028,0.017098
0.051000,0.306745,-0.000043,0.486571,0.306803,0.000002,0.486776,0.000058,0.000045,0.000206,-0.000168,-0.000423,0.000069,-0.001801,0.002749,-0.006046,0.001038,0.012695,0.005863,0.042976,-0.050480,0.141502,-0.004740,-0.026235,-0.011482,-0.026972,-0.063175,-0.021186,0.098541,-0.015335,0.047713,0.011469
0.052000,0.306743,-0.000041,0.486565,0.306803,0.000002,0.486776,0.000060,0.000043,0.000212,-0.000167,-0.000433,0.000064,-0.002091,0.003396,-0.005395,0.000393,0.010033,0.008762,0.049033,-0.063620,0.129087,-0.002156,-0.020932,-0.017301,-0.036826,-0.053108,-0.031432,0.088154,-0.015516,0.042597,0.017289
0.053000,0.306742,-0.000039,0.486566,0.306803,0.000002,0.486776,0.000062,0.000041,0.000211,-0.000167,-0.000429,0.000054,-0.001768,0.002733,-0.003529,0.000334,0.006222,0.008589,0.042763,-0.050523,0.091650,-0.001917,-0.013302,-0.016987,-0.032494,-0.034892,-0.027120,0.062047,-0.012527,0.030364,0.016980
0.054000,0.306739,-0.000038,0.486561,0.306803,0.000002,0.486776,0.000065,0.000040,0.000216,-0.000163,-0.000437,0.000045,-0.001905,0.002187,-0.003884,-0.000952,0.006934,0.007274,0.045862,-0.039784,0.099255,0.003239,-0.014742,-0.014391,-0.026608,-0.038193,-0.025439,0.067467,-0.005112,0.033122,0.014381
0.055000,0.306736,-0.000037,0.486554,0.306803,0.000002,0.486776,0.000067,0.000039,0.000223,-0.000164,-0.000449,0.000040,-0.002281,0.002205,-0.006533,-0.000247,0.012513,0.008198,0.053668,-0.040157,0.152936,0.000415,-0.025925,-0.016255,-0.028564,-0.064720,-0.024836,0.104991,-0.008004,0.050658,0.016239
0.056000,0.306734,-0.000035,0.486552,0.306803,0.000002,0.486776,0.000069,0.000037,0.000225,-0.000167,-0.000450,0.000036,-0.002459,0.002934,-0.004924,-0.000134,0.007871,0.009985,0.057459,-0.054941,0.120946,-0.000049,-0.016642,-0.019844,-0.036702,-0.044970,-0.031913,0.081087,-0.011584,0.039369,0.019834
0.057000,0.306732,-0.000033,0.486547,0.306803,0.000002,0.486776,0.000071,0.000035,0.000229,-0.000166,-0.000458,0.000033,-0.002664,0.003448,-0.004512,-0.000854,0.006832,0.009659,0.061831,-0.065505,0.113151,0.002837,-0.014579,-0.019201,-0.039315,-0.039844,-0.036978,0.075901,-0.010925,0.037540,0.019191
0.058000,0.306731,-0.000031,0.486544,0.306803,0.000002,0.486776,0.000073,0.000033,0.000233,-0.000166,-0.000459,0.000027,-0.002787,0.002606,-0.003954,-0.000110,0.004889,0.008113,0.064482,-0.048816,0.102342,-0.000140,-0.010696,-0.016131,-0.031125,-0.032188,-0.027265,0.067235,-0.010393,0.033266,0.016125
0.059000,0.306728,-0.000030,0.486540,0.306803,0.000002,0.486776,0.000076,0.000033,0.000237,-0.000162,-0.000467,0.000024,-0.003124,0.001966,-0.003546,-0.000107,0.004495,0.005903,0.071563,-0.036077,0.094597,-0.000140,-0.009923,-0.011720,-0.022802,-0.027917,-0.019995,0.063697,-0.007716,0.033301,0.011715
0.060000,0.306726,-0.000030,0.486537,0.306803,0.000002,0.486776,0.000078,0.000032,0.000239,-0.000163,-0.000470,0.000016,-0.002405,0.001271,-0.002259,-0.000455,0.002513,0.004824,0.057433,-0.022267,0.069099,0.001249,-0.005966,-0.009591,-0.016432,-0.018316,-0.014945,0.045910,-0.003424,0.024130,0.009587
